,time,PCPI_IX,country
91,1968,0.0155434216938851,MX
92,1969,0.0160667692256834,MX
93,1970,0.0168706558939436,MX
94,1971,0.0177933169562223,MX
95,1972,0.01867296380785,MX
96,1973,0.0209290199907437,MX
97,1974,0.0259067813373226,MX
98,1975,0.0297784292486279,MX
99,1976,0.0344907830389098,MX
100,1977,0.0445152272349135,MX
101,1978,0.0522863806905451,MX
102,1979,0.0617979249826717,MX
103,1980,0.0780826987195229,MX
104,1981,0.0998941344101334,MX
105,1982,0.1587451852238,MX
106,1983,0.320466744940648,MX
107,1984,0.530208406745464,MX
108,1985,0.836395534931944,MX
109,1986,1.5576471478797,MX
110,1987,3.61105263368213,MX
111,1988,7.73351187768915,MX
112,1989,9.28082339983958,MX
113,1990,11.7543180636707,MX
114,1991,14.418123874751,MX
115,1992,16.6540715669279,MX
116,1993,18.278086769687,MX
117,1994,19.5513039992386,MX
118,1995,26.3941179264612,MX
119,1996,35.467988935687,MX
120,1997,42.7834846501138,MX
121,1998,49.5982070850547,MX
122,1999,57.8243757365431,MX
123,2000,63.3128119183035,MX
124,2001,67.3444059411695,MX
125,2002,70.732319377097,MX
126,2003,73.9484472925727,MX
127,2004,77.4154528387154,MX
128,2005,80.5028253377382,MX
129,2006,83.4246493200917,MX
130,2007,86.7339792329343,MX
131,2008,91.1790807033324,MX
132,2009,96.0091610619154,MX
133,2010,100,MX
134,2011,103.407378246057,MX
135,2012,107.658982747635,MX
136,2013,111.756904251934,MX
137,2014,116.247985177591,MX
138,2015,119.410675116721,MX
139,2016,122.780095507214,MX
140,2017,130.197802476747,MX
141,2018,136.57664871233,MX
142,2019,141.542522969974,MX
143,2020,146.350487735058,MX
144,2021,154.676672089174,MX
145,2022,166.890369321443,MX
146,1950,1.91333479343021E-08,PE
147,1951,2.11212282391646E-08,PE
148,1952,2.26121384665691E-08,PE
149,1953,2.4724261291728E-08,PE
150,1954,2.59666864822671E-08,PE
151,1955,2.72091116728062E-08,PE
152,1956,2.87000219002107E-08,PE
153,1957,3.08328518109468E-08,PE
154,1958,3.3276288019214E-08,PE
155,1959,3.75212407534524E-08,PE
156,1960,4.07722533358808E-08,PE
157,1961,4.31846289137633E-08,PE
158,1962,4.60525603954648E-08,PE
159,1963,4.88480170738672E-08,PE
160,1964,5.36313540574427E-08,PE
161,1965,6.24215122800927E-08,PE
162,1966,6.79399508350477E-08,PE
163,1967,7.4586925604639E-08,PE
164,1968,8.88230475795661E-08,PE
165,1969,9.43621932210302E-08,PE
166,1970,9.91041160314842E-08,PE
167,1971,1.05833919147008E-07,PE
168,1972,1.13474834068616E-07,PE
169,1973,1.24242519053392E-07,PE
170,1974,1.45229151230041E-07,PE
171,1975,1.79530440032175E-07,PE
172,1976,2.39643112167965E-07,PE
173,1977,3.30837121153327E-07,PE
174,1978,5.22222368212621E-07,PE
175,1979,8.70515563293955E-07,PE
176,1980,1.38538261339855E-06,PE
177,1981,2.43042200348463E-06,PE
178,1982,3.99678422945211E-06,PE
179,1983,8.43923528842756E-06,PE
180,1984,1.77399915622033E-05,PE
181,1985,4.67270500051154E-05,PE
182,1986,8.31372465771288E-05,PE
183,1987,0.000154487548932547,PE
184,1988,0.00118494936057133,PE
185,1989,0.0414575745580702,PE
186,1990,3.14317384437408,PE
187,1991,16.0154189264591,PE
188,1992,27.7912832791575,PE
189,1993,41.2922849295886,PE
190,1994,51.0937953989864,PE
191,1995,56.7798721254013,PE
192,1996,63.3311010725635,PE
193,1997,68.7536299522063,PE
194,1998,73.7367704992645,PE
195,1999,76.2951857032352,PE
196,2000,79.1618539622357,PE
197,2001,80.7269620151228,PE
198,2002,80.8828740363217,PE
199,2003,82.7103235208532,PE
200,2004,85.7395669542006,PE
201,2005,87.1253772370504,PE
202,2006,88.8698520836898,PE
203,2007,90.451723406074,PE
204,2008,95.6851479459922,PE
205,2009,98.4946854352191,PE
206,2010,100,PE
207,2011,103.369310953339,PE
208,2012,107.102196896193,PE
209,2013,110.066675027747,PE
210,2014,113.822090321437,PE
211,2015,117.689869607084,PE
212,2016,121.876306151171,PE
213,2017,125.526380202402,PE
214,2018,127.420766879303,PE
